miRNA,drug
hsa-mir-429,Cisplatin
hsa-mir-429,Vincristine
hsa-mir-130b,Cisplatin
hsa-mir-130b,Paclitaxel
hsa-mir-200c,Cisplatin
hsa-mir-506,10-Hydroxycamptothecin (HCPT)
hsa-mir-135b,Erlotinib
hsa-mir-140,Erlotinib
hsa-mir-141,Erlotinib
hsa-mir-197,Erlotinib
hsa-mir-200b,Erlotinib
hsa-mir-200c,Erlotinib
hsa-mir-205,Erlotinib
hsa-mir-224,Erlotinib
hsa-mir-301a,Erlotinib
hsa-mir-34c,Erlotinib
hsa-mir-518f,Erlotinib
hsa-mir-628,Erlotinib
hsa-mir-636,Erlotinib
hsa-mir-433,Paclitaxel
hsa-mir-145,Cisplatin
hsa-mir-145,Temozolomide
hsa-mir-200c,Doxorubicin (Adriamycin)
hsa-mir-363,5-Fluorouracil
hsa-mir-363,Cisplatin
hsa-mir-517a,5-Fluorouracil
hsa-mir-517a,Cisplatin
hsa-mir-518f,5-Fluorouracil
hsa-mir-518f,Cisplatin
hsa-mir-519e,5-Fluorouracil
hsa-mir-519e,Cisplatin
hsa-mir-520a,5-Fluorouracil
hsa-mir-520a,Cisplatin
hsa-mir-520d,5-Fluorouracil
hsa-mir-520d,Cisplatin
hsa-mir-193a,5-Fluorouracil
hsa-mir-100,Docetaxel
hsa-mir-1202,Oxaliplatin
hsa-mir-1225,Oxaliplatin
hsa-mir-1275,Oxaliplatin
hsa-mir-1915,5-Fluorouracil
hsa-mir-1915,Doxorubicin (Adriamycin)
hsa-mir-1915,Mitomycin C
hsa-mir-1915,Oxaliplatin
hsa-mir-1915,Vincristine
hsa-mir-297,Doxorubicin (Adriamycin)
hsa-mir-297,Mitomycin C
hsa-mir-297,Oxaliplatin
hsa-mir-326,Oxaliplatin
hsa-mir-630,Oxaliplatin
hsa-mir-892b,Oxaliplatin
hsa-mir-330,Gemcitabine
hsa-mir-200b,Docetaxel
hsa-mir-221,Chemotherapy
hsa-mir-30a,Cisplatin
hsa-mir-21,Gemcitabine
hsa-mir-128-2,5-Fluorouracil
hsa-mir-128-2,Cisplatin
hsa-mir-128-2,Doxorubicin (Adriamycin)
hsa-mir-200b,Cisplatin
hsa-mir-200c,Cisplatin
hsa-mir-429,Cisplatin
hsa-mir-203a,Cisplatin
hsa-mir-181a-2,Cytarabine
hsa-mir-122,Bortezomib
hsa-mir-122,Doxorubicin (Adriamycin)
hsa-mir-21,Cisplatin
hsa-mir-21,Cisplatin
hsa-mir-142,Dexamethasone
hsa-mir-181a-2,Dexamethasone
hsa-mir-181a-2,Daunorubicin
hsa-mir-145,Mitomycin C
hsa-mir-21,Chemotherapy
hsa-mir-122,5-Fluorouracil
hsa-mir-10b,5-Fluorouracil
hsa-mir-21,Chemotherapy
hsa-mir-34c,Paclitaxel
hsa-mir-210,Trastuzumab
hsa-let-7b,5-Fluorouracil
hsa-let-7c,5-Fluorouracil
hsa-let-7e,5-Fluorouracil
hsa-let-7g,5-Fluorouracil
hsa-mir-103a-1,5-Fluorouracil
hsa-mir-106b,5-Fluorouracil
hsa-mir-107,5-Fluorouracil
hsa-mir-130b,5-Fluorouracil
hsa-mir-130b,5-Fluorouracil
hsa-mir-141,5-Fluorouracil
hsa-mir-15a,5-Fluorouracil
hsa-mir-15b,5-Fluorouracil
hsa-mir-181a-2,5-Fluorouracil
hsa-mir-19b-1,5-Fluorouracil
hsa-mir-200c,5-Fluorouracil
hsa-mir-20b,5-Fluorouracil
hsa-mir-21,5-Fluorouracil
hsa-mir-24-1,5-Fluorouracil
hsa-mir-25,5-Fluorouracil
hsa-mir-26a-1,5-Fluorouracil
hsa-mir-26b,5-Fluorouracil
hsa-mir-29c,5-Fluorouracil
hsa-mir-30b,5-Fluorouracil
hsa-mir-30d,5-Fluorouracil
hsa-mir-31,5-Fluorouracil
hsa-mir-365a,5-Fluorouracil
hsa-mir-425,5-Fluorouracil
hsa-mir-429,5-Fluorouracil
hsa-mir-96,5-Fluorouracil
hsa-mir-30a,Imatinib
hsa-mir-328,10-Hydroxycamptothecin (HCPT)
hsa-mir-328,5-Fluorouracil
hsa-mir-130a,Cisplatin
hsa-mir-93,Cisplatin
hsa-mir-199a-1,Cisplatin
hsa-mir-199a-1,Doxorubicin (Adriamycin)
hsa-mir-199a-1,Paclitaxel
hsa-mir-214,Gefitinib
hsa-mir-375,Tamoxifen
hsa-mir-126,Doxorubicin (Adriamycin)
hsa-mir-126,Vincristine
hsa-mir-298,Doxorubicin (Adriamycin)
hsa-mir-125b-1,5-Fluorouracil
hsa-mir-181a-2,Fludarabine
hsa-mir-181b-1,Fludarabine
hsa-let-7c,Cisplatin
hsa-let-7d,Cisplatin
hsa-let-7e,Cisplatin
hsa-let-7f-1,Cisplatin
hsa-let-7g,Cisplatin
hsa-let-7i,Cisplatin
hsa-mir-106a,Cisplatin
hsa-mir-106b,Cisplatin
hsa-mir-1290,Cisplatin
hsa-mir-130a,Cisplatin
hsa-mir-130a,Cisplatin
hsa-mir-133b,Cisplatin
hsa-mir-148b,Cisplatin
hsa-mir-15a,Cisplatin
hsa-mir-15b,Cisplatin
hsa-mir-16-1,Cisplatin
hsa-mir-17,Cisplatin
hsa-mir-181d,Cisplatin
hsa-mir-19a,Cisplatin
hsa-mir-20a,Cisplatin
hsa-mir-20b,Cisplatin
hsa-mir-22,Cisplatin
hsa-mir-221,Cisplatin
hsa-mir-222,Cisplatin
hsa-mir-224,Cisplatin
hsa-mir-23a,Cisplatin
hsa-mir-25,Cisplatin
hsa-mir-26b,Cisplatin
hsa-mir-27a,Cisplatin
hsa-mir-29a,Cisplatin
hsa-mir-29b-1,Cisplatin
hsa-mir-30b,Cisplatin
hsa-mir-30e,Cisplatin
hsa-mir-3175,Cisplatin
hsa-mir-320a,Cisplatin
hsa-mir-320d-1,Cisplatin
hsa-mir-320e,Cisplatin
hsa-mir-331,Cisplatin
hsa-mir-365a,Cisplatin
hsa-mir-3651,Cisplatin
hsa-mir-374a,Cisplatin
hsa-mir-374b,Cisplatin
hsa-mir-378a,Cisplatin
hsa-mir-423,Cisplatin
hsa-mir-4284,Cisplatin
hsa-mir-4289,Cisplatin
hsa-mir-744,Cisplatin
hsa-mir-92a-1,Cisplatin
hsa-mir-98,Cisplatin
hsa-mir-99a,Cisplatin
hsa-mir-30a,Imatinib
hsa-mir-1202,Oxaliplatin
hsa-mir-1207,Oxaliplatin
hsa-mir-1225,Oxaliplatin
hsa-mir-1268a,Oxaliplatin
hsa-mir-1275,Oxaliplatin
hsa-mir-1915,Oxaliplatin
hsa-mir-221,Oxaliplatin
hsa-mir-222,Oxaliplatin
hsa-mir-297,Doxorubicin (Adriamycin)
hsa-mir-297,Oxaliplatin
hsa-mir-297,Vincristine
hsa-mir-338,Oxaliplatin
hsa-mir-513a-1,Oxaliplatin
hsa-mir-630,Oxaliplatin
hsa-mir-638,Oxaliplatin
hsa-mir-892b,Oxaliplatin
hsa-mir-939,Oxaliplatin
hsa-mir-222,5-Fluorouracil
hsa-mir-222,Oxaliplatin
hsa-mir-222,Vincristine
hsa-mir-497,5-Fluorouracil
hsa-mir-497,Cisplatin
hsa-mir-497,TRAIL therapy
hsa-mir-199a-1,Cisplatin
hsa-mir-708,Doxorubicin (Adriamycin)
hsa-mir-708,Etoposide
hsa-mir-337,Docetaxel
hsa-mir-337,Paclitaxel
hsa-mir-513a-1,Cisplatin
hsa-mir-193b,Carboplatin
hsa-mir-193b,Cisplatin
hsa-mir-21,Temozolomide
hsa-mir-96,Cisplatin
hsa-mir-96,Olaparib
hsa-mir-1-1,Cyclopamine
hsa-mir-1-1,Paclitaxel
hsa-mir-10a,Cyclopamine
hsa-mir-10a,Paclitaxel
hsa-mir-10b,Cyclopamine
hsa-mir-10b,Paclitaxel
hsa-mir-125b-1,Cyclopamine
hsa-mir-125b-1,Paclitaxel
hsa-mir-126,Cyclopamine
hsa-mir-126,Paclitaxel
hsa-mir-138-1,Cyclopamine
hsa-mir-138-1,Paclitaxel
hsa-mir-144,Cyclopamine
hsa-mir-144,Paclitaxel
hsa-mir-146a,Cyclopamine
hsa-mir-146a,Paclitaxel
hsa-mir-155,Cyclopamine
hsa-mir-155,Paclitaxel
hsa-mir-17,Cyclopamine
hsa-mir-17,Paclitaxel
hsa-mir-18a,Cyclopamine
hsa-mir-18a,Paclitaxel
hsa-mir-193b,Cyclopamine
hsa-mir-193b,Paclitaxel
hsa-mir-200c,Cyclopamine
hsa-mir-200c,Paclitaxel
hsa-mir-23b,Cyclopamine
hsa-mir-23b,Paclitaxel
hsa-mir-29b-1,Cyclopamine
hsa-mir-29b-1,Paclitaxel
hsa-mir-30c-2,Cyclopamine
hsa-mir-30c-2,Paclitaxel
hsa-mir-34a,Cyclopamine
hsa-mir-34a,Paclitaxel
hsa-mir-373,Cyclopamine
hsa-mir-373,Paclitaxel
hsa-mir-15a,Bortezomib
hsa-mir-15a,Melphalan
hsa-mir-16-1,Bortezomib
hsa-mir-16-1,Melphalan
hsa-let-7a-1,Paclitaxel
hsa-let-7i,Paclitaxel
hsa-mir-144,Imatinib
hsa-mir-451a,Imatinib
hsa-mir-130a,Cisplatin
hsa-mir-302a,Cisplatin
hsa-let-7b,Cisplatin
hsa-let-7c,Cisplatin
hsa-mir-101-1,Cisplatin
hsa-mir-10a,Cisplatin
hsa-mir-135a-1,Cisplatin
hsa-mir-136,Cisplatin
hsa-mir-141,Cisplatin
hsa-mir-145,Cisplatin
hsa-mir-146a,Cisplatin
hsa-mir-202,Cisplatin
hsa-mir-204,Cisplatin
hsa-mir-489,Cisplatin
hsa-mir-545,Cisplatin
hsa-mir-96,Cisplatin
hsa-mir-99a,Cisplatin
hsa-mir-205,Cisplatin
hsa-mir-133b,Gefitinib
hsa-mir-195,5-Fluorouracil
hsa-mir-24-1,Cisplatin
hsa-mir-24-1,Etoposide
hsa-mir-296,Capecitabine
hsa-mir-296,Sunitinib
hsa-mir-199a-1,Doxorubicin (Adriamycin)
hsa-let-7b,Paroxetine
hsa-let-7c,Paroxetine
hsa-let-7d,Paroxetine
hsa-mir-124-1,Paroxetine
hsa-mir-132,Paroxetine
hsa-mir-148a,Paroxetine
hsa-mir-151a,Paroxetine
hsa-mir-181c,Paroxetine
hsa-mir-192,Paroxetine
hsa-mir-193a,Paroxetine
hsa-mir-194-1,Paroxetine
hsa-mir-206,Paroxetine
hsa-mir-20b,Paroxetine
hsa-mir-212,Paroxetine
hsa-mir-21,Paroxetine
hsa-mir-30b,Paroxetine
hsa-mir-30b,Paroxetine
hsa-mir-30d,Paroxetine
hsa-mir-328,Paroxetine
hsa-mir-363,Paroxetine
hsa-mir-378a,Paroxetine
hsa-mir-425,Paroxetine
hsa-mir-4315-1,Paroxetine
hsa-mir-466,Paroxetine
hsa-mir-485,Paroxetine
hsa-mir-486-1,Paroxetine
hsa-mir-500a,Paroxetine
hsa-mir-501,Paroxetine
hsa-mir-502,Paroxetine
hsa-mir-625,Paroxetine
hsa-mir-629,Paroxetine
hsa-mir-629,Paroxetine
hsa-mir-671,Paroxetine
hsa-mir-15b,Cisplatin
hsa-mir-16-1,Cisplatin
hsa-mir-155,Cisplatin
hsa-mir-16-1,Cisplatin
hsa-mir-195,Cisplatin
hsa-mir-424,Cisplatin
hsa-mir-497,Cisplatin
hsa-mir-378a,Epirubicin
hsa-mir-378a,Methotrexate
hsa-mir-127,Cisplatin
hsa-mir-142,Cisplatin
hsa-mir-193a,Cisplatin
hsa-mir-218-1,Cisplatin
hsa-mir-24-1,Cisplatin
hsa-mir-27a,Cisplatin
hsa-mir-296,Cisplatin
hsa-mir-492,Cisplatin
hsa-mir-576,Cisplatin
hsa-mir-625,Cisplatin
hsa-mir-639,Cisplatin
hsa-mir-642a,Cisplatin
hsa-mir-944,Cisplatin
hsa-mir-21,Cisplatin
hsa-mir-21,Docetaxel
hsa-mir-21,Doxorubicin (Adriamycin)
hsa-mir-23b,Temozolomide
hsa-mir-200c,Cisplatin
hsa-mir-200c,PLX4720
hsa-mir-200c,U0126
hsa-mir-155,Cisplatin
hsa-mir-296,Imatinib
hsa-mir-106a,Etoposide
hsa-mir-129-1,Etoposide
hsa-mir-135a-1,Etoposide
hsa-mir-150,Etoposide
hsa-mir-184,Etoposide
hsa-mir-198,Etoposide
hsa-mir-202,Etoposide
hsa-mir-218-1,Etoposide
hsa-mir-23b,Etoposide
hsa-mir-298,Etoposide
hsa-mir-29b-1,Etoposide
hsa-mir-31,Etoposide
hsa-mir-330,Etoposide
hsa-mir-342,Etoposide
hsa-mir-382,Etoposide
hsa-mir-455,Etoposide
hsa-mir-484,Etoposide
hsa-mir-487b,Etoposide
hsa-mir-491,Etoposide
hsa-mir-503,Etoposide
hsa-mir-518d,Etoposide
hsa-mir-518f,Etoposide
hsa-mir-523,Etoposide
hsa-mir-542,Etoposide
hsa-mir-548d-1,Etoposide
hsa-mir-758,Etoposide
hsa-mir-885,Etoposide
hsa-mir-34a,Cisplatin
hsa-mir-155,Cisplatin
hsa-mir-200c,Docetaxel
hsa-mir-205,Docetaxel
hsa-mir-100,Cisplatin
hsa-mir-10b,Cisplatin
hsa-mir-130a,Cisplatin
hsa-mir-135b,Cisplatin
hsa-mir-141,Cisplatin
hsa-mir-17,Cisplatin
hsa-mir-186,Cisplatin
hsa-mir-18b,Cisplatin
hsa-mir-196a-1,Cisplatin
hsa-mir-199a-1,Cisplatin
hsa-mir-199b,Cisplatin
hsa-mir-19a,Cisplatin
hsa-mir-19b-1,Cisplatin
hsa-mir-200c,Cisplatin
hsa-mir-20b,Cisplatin
hsa-mir-214,Cisplatin
hsa-mir-215,Cisplatin
hsa-mir-222,Cisplatin
hsa-mir-335,Cisplatin
hsa-mir-338,Cisplatin
hsa-mir-412,Cisplatin
hsa-mir-421,Cisplatin
hsa-mir-493,Cisplatin
hsa-mir-518e,Cisplatin
hsa-mir-631,Cisplatin
hsa-mir-645,Cisplatin
hsa-mir-942,Cisplatin
hsa-mir-10a,Gemcitabine
hsa-mir-10b,Gemcitabine
hsa-mir-134,Gemcitabine
hsa-mir-143,Gemcitabine
hsa-mir-146a,Gemcitabine
hsa-mir-146b,Gemcitabine
hsa-mir-15a,Gemcitabine
hsa-mir-190b,Gemcitabine
hsa-mir-205,Gemcitabine
hsa-mir-214,Gemcitabine
hsa-mir-32,Gemcitabine
hsa-mir-34a,Gemcitabine
hsa-mir-7-1,Gemcitabine
hsa-mir-200c,Paclitaxel
hsa-mir-21,Cisplatin
hsa-mir-34a,Doxorubicin (Adriamycin)
hsa-mir-181a-2,Trichostatin A
hsa-mir-199a-1,Trichostatin A
hsa-mir-30d,Trichostatin A
hsa-let-7i,Chemotherapy
hsa-mir-181a-2,Cisplatin
hsa-mir-181a-2,Cisplatin
hsa-mir-181a-2,Cisplatin
hsa-mir-181a-2,Cisplatin
hsa-mir-181b-1,Cisplatin
hsa-mir-181b-1,Cisplatin
hsa-mir-29c,Cisplatin
hsa-mir-204,5-Fluorouracil
hsa-mir-204,Oxaliplatin
hsa-mir-146a,5-Fluorouracil
hsa-mir-146a,Capecitabine
hsa-mir-196b,5-Fluorouracil
hsa-mir-196b,Capecitabine
hsa-mir-215,5-Fluorouracil
hsa-mir-215,Capecitabine
hsa-mir-29b-2,5-Fluorouracil
hsa-mir-29b-2,Capecitabine
hsa-mir-21,Gemcitabine
hsa-mir-29b-1,Decitabine
hsa-mir-137,Doxorubicin (Adriamycin)
hsa-mir-137,Paclitaxel
hsa-mir-137,Vincristine
hsa-mir-211,Temozolomide
hsa-mir-141,Sunitinib
hsa-mir-200c,Doxorubicin (Adriamycin)
hsa-mir-146a,Carboplatin
hsa-mir-146a,Cisplatin
hsa-mir-146a,Doxorubicin (Adriamycin)
hsa-mir-146a,Mitomycin C
hsa-mir-146a,Vincristine
hsa-mir-146b,Carboplatin
hsa-mir-146b,Cisplatin
hsa-mir-146b,Doxorubicin (Adriamycin)
hsa-mir-146b,Mitomycin C
hsa-mir-146b,Vincristine
hsa-mir-181a-2,Carboplatin
hsa-mir-181a-2,Cisplatin
hsa-mir-181a-2,Doxorubicin (Adriamycin)
hsa-mir-181a-2,Mitomycin C
hsa-mir-181a-2,Vincristine
hsa-mir-181d,Carboplatin
hsa-mir-181d,Cisplatin
hsa-mir-181d,Doxorubicin (Adriamycin)
hsa-mir-181d,Mitomycin C
hsa-mir-181d,Vincristine
hsa-mir-186,Carboplatin
hsa-mir-186,Cisplatin
hsa-mir-186,Doxorubicin (Adriamycin)
hsa-mir-186,Mitomycin C
hsa-mir-186,Vincristine
hsa-mir-1908,Carboplatin
hsa-mir-1908,Cisplatin
hsa-mir-1908,Doxorubicin (Adriamycin)
hsa-mir-1908,Mitomycin C
hsa-mir-1908,Vincristine
hsa-mir-1915,Carboplatin
hsa-mir-1915,Cisplatin
hsa-mir-1915,Doxorubicin (Adriamycin)
hsa-mir-1915,Mitomycin C
hsa-mir-1915,Vincristine
hsa-mir-193b,Carboplatin
hsa-mir-193b,Cisplatin
hsa-mir-193b,Doxorubicin (Adriamycin)
hsa-mir-193b,Mitomycin C
hsa-mir-193b,Vincristine
hsa-mir-194-1,Carboplatin
hsa-mir-194-1,Cisplatin
hsa-mir-194-1,Doxorubicin (Adriamycin)
hsa-mir-194-1,Mitomycin C
hsa-mir-194-1,Vincristine
hsa-mir-22,Carboplatin
hsa-mir-22,Cisplatin
hsa-mir-22,Doxorubicin (Adriamycin)
hsa-mir-22,Mitomycin C
hsa-mir-22,Vincristine
hsa-mir-23a,Carboplatin
hsa-mir-23a,Cisplatin
hsa-mir-23a,Doxorubicin (Adriamycin)
hsa-mir-23a,Mitomycin C
hsa-mir-23a,Vincristine
hsa-mir-26b,Carboplatin
hsa-mir-26b,Cisplatin
hsa-mir-26b,Doxorubicin (Adriamycin)
hsa-mir-26b,Mitomycin C
hsa-mir-26b,Vincristine
hsa-mir-27b,Carboplatin
hsa-mir-27b,Cisplatin
hsa-mir-27b,Doxorubicin (Adriamycin)
hsa-mir-27b,Mitomycin C
hsa-mir-27b,Vincristine
hsa-mir-300,Carboplatin
hsa-mir-300,Cisplatin
hsa-mir-300,Doxorubicin (Adriamycin)
hsa-mir-300,Mitomycin C
hsa-mir-300,Vincristine
hsa-mir-30b,Carboplatin
hsa-mir-30b,Cisplatin
hsa-mir-30b,Doxorubicin (Adriamycin)
hsa-mir-30b,Mitomycin C
hsa-mir-30b,Vincristine
hsa-mir-30c-2,Carboplatin
hsa-mir-30c-2,Cisplatin
hsa-mir-30c-2,Doxorubicin (Adriamycin)
hsa-mir-30c-2,Mitomycin C
hsa-mir-30c-2,Vincristine
hsa-mir-3183,Carboplatin
hsa-mir-3183,Cisplatin
hsa-mir-3183,Doxorubicin (Adriamycin)
hsa-mir-3183,Mitomycin C
hsa-mir-3183,Vincristine
hsa-mir-4258,Carboplatin
hsa-mir-4258,Cisplatin
hsa-mir-4258,Doxorubicin (Adriamycin)
hsa-mir-4258,Mitomycin C
hsa-mir-4258,Vincristine
hsa-mir-4285,Carboplatin
hsa-mir-4285,Cisplatin
hsa-mir-4285,Doxorubicin (Adriamycin)
hsa-mir-4285,Mitomycin C
hsa-mir-4285,Vincristine
hsa-mir-4311,Carboplatin
hsa-mir-4311,Cisplatin
hsa-mir-4311,Doxorubicin (Adriamycin)
hsa-mir-4311,Mitomycin C
hsa-mir-4311,Vincristine
hsa-mir-485,Carboplatin
hsa-mir-485,Cisplatin
hsa-mir-485,Doxorubicin (Adriamycin)
hsa-mir-485,Mitomycin C
hsa-mir-485,Vincristine
hsa-mir-584,Carboplatin
hsa-mir-584,Cisplatin
hsa-mir-584,Doxorubicin (Adriamycin)
hsa-mir-584,Mitomycin C
hsa-mir-584,Vincristine
hsa-mir-612,Carboplatin
hsa-mir-612,Cisplatin
hsa-mir-612,Doxorubicin (Adriamycin)
hsa-mir-612,Mitomycin C
hsa-mir-612,Vincristine
hsa-mir-630,Carboplatin
hsa-mir-630,Cisplatin
hsa-mir-630,Doxorubicin (Adriamycin)
hsa-mir-630,Mitomycin C
hsa-mir-630,Vincristine
hsa-mir-99b,Carboplatin
hsa-mir-99b,Cisplatin
hsa-mir-99b,Doxorubicin (Adriamycin)
hsa-mir-99b,Mitomycin C
hsa-mir-99b,Vincristine
hsa-mir-125b-1,Gemcitabine
hsa-mir-125b-1,Paclitaxel
hsa-mir-155,Fulvestrant
hsa-mir-155,Tamoxifen
hsa-mir-196a-1,Fulvestrant
hsa-mir-196a-1,Tamoxifen
hsa-mir-21,Cyclophosphamide
hsa-mir-21,Doxorubicin (Adriamycin)
hsa-mir-21,Prednisone (R-CHOP)
hsa-mir-21,Vincristine
hsa-mir-155,Cisplatin
hsa-mir-125a,Gemcitabine
hsa-mir-21,Gemcitabine
hsa-mir-495,Gemcitabine
hsa-mir-605,Gemcitabine
hsa-mir-638,Gemcitabine
hsa-mir-1250,Sunitinib
hsa-mir-139,Sunitinib
hsa-mir-141,Sunitinib
hsa-mir-145,Sunitinib
hsa-mir-150,Sunitinib
hsa-mir-181a-2,Sunitinib
hsa-mir-1825,Sunitinib
hsa-mir-192,Sunitinib
hsa-mir-193a,Sunitinib
hsa-mir-199a-1,Sunitinib
hsa-mir-29a,Sunitinib
hsa-mir-30b,Sunitinib
hsa-mir-31,Sunitinib
hsa-mir-34a,Sunitinib
hsa-mir-362,Sunitinib
hsa-mir-370,Sunitinib
hsa-mir-501,Sunitinib
hsa-mir-505,Sunitinib
hsa-mir-516a-1,Sunitinib
hsa-mir-564,Sunitinib
hsa-mir-582,Sunitinib
hsa-mir-624,Sunitinib
hsa-mir-629,Sunitinib
hsa-mir-659,Sunitinib
hsa-mir-933,Sunitinib
hsa-mir-193a,SIOP treatment protocol
hsa-mir-27a,SIOP treatment protocol
hsa-mir-302a,SIOP treatment protocol
hsa-mir-367,SIOP treatment protocol
hsa-mir-483,SIOP treatment protocol
hsa-mir-590,SIOP treatment protocol
hsa-mir-628,SIOP treatment protocol
hsa-mir-152,Cisplatin
hsa-mir-185,Cisplatin
hsa-mir-21,Chemotherapy
hsa-mir-125a,Paclitaxel
hsa-mir-125b-1,Paclitaxel
hsa-let-7a-1,Gemcitabine
hsa-mir-214,Cisplatin
hsa-mir-30a,Doxorubicin (Adriamycin)
hsa-mir-30a,Paclitaxel
hsa-mir-30c-1,Doxorubicin (Adriamycin)
hsa-mir-30c-1,Paclitaxel
hsa-mir-1255a,Doxorubicin (Adriamycin)
hsa-mir-1269b,Doxorubicin (Adriamycin)
hsa-mir-1277,Doxorubicin (Adriamycin)
hsa-mir-1293,Doxorubicin (Adriamycin)
hsa-mir-139,Doxorubicin (Adriamycin)
hsa-mir-181a-2,Doxorubicin (Adriamycin)
hsa-mir-196a-1,Doxorubicin (Adriamycin)
hsa-mir-203a,Doxorubicin (Adriamycin)
hsa-mir-21,Doxorubicin (Adriamycin)
hsa-mir-2116,Doxorubicin (Adriamycin)
hsa-mir-2277,Doxorubicin (Adriamycin)
hsa-mir-2682,Doxorubicin (Adriamycin)
hsa-mir-296,Doxorubicin (Adriamycin)
hsa-mir-302a,Doxorubicin (Adriamycin)
hsa-mir-3117,Doxorubicin (Adriamycin)
hsa-mir-3186,Doxorubicin (Adriamycin)
hsa-mir-335,Doxorubicin (Adriamycin)
hsa-mir-338,Doxorubicin (Adriamycin)
hsa-mir-3622a,Doxorubicin (Adriamycin)
hsa-mir-362,Doxorubicin (Adriamycin)
hsa-mir-3654,Doxorubicin (Adriamycin)
hsa-mir-365a,Doxorubicin (Adriamycin)
hsa-mir-365b,Doxorubicin (Adriamycin)
hsa-mir-3660,Doxorubicin (Adriamycin)
hsa-mir-3674,Doxorubicin (Adriamycin)
hsa-mir-3679,Doxorubicin (Adriamycin)
hsa-mir-3910-1,Doxorubicin (Adriamycin)
hsa-mir-4426,Doxorubicin (Adriamycin)
hsa-mir-4427,Doxorubicin (Adriamycin)
hsa-mir-4448,Doxorubicin (Adriamycin)
hsa-mir-4454,Doxorubicin (Adriamycin)
hsa-mir-4485,Doxorubicin (Adriamycin)
hsa-mir-4488,Doxorubicin (Adriamycin)
hsa-mir-4501,Doxorubicin (Adriamycin)
hsa-mir-450a-1,Doxorubicin (Adriamycin)
hsa-mir-4687,Doxorubicin (Adriamycin)
hsa-mir-486-1,Doxorubicin (Adriamycin)
hsa-mir-500a,Doxorubicin (Adriamycin)
hsa-mir-500b,Doxorubicin (Adriamycin)
hsa-mir-548h-1,Doxorubicin (Adriamycin)
hsa-mir-551b,Doxorubicin (Adriamycin)
hsa-mir-577,Doxorubicin (Adriamycin)
hsa-mir-642a,Doxorubicin (Adriamycin)
hsa-mir-877,Doxorubicin (Adriamycin)
hsa-mir-944,Doxorubicin (Adriamycin)
hsa-mir-31,Doxorubicin (Adriamycin)
hsa-mir-31,Staurosporine
hsa-mir-221,Cisplatin
hsa-mir-17,Docetaxel
hsa-mir-34c,Paclitaxel
hsa-mir-663a,Cyclophosphamide
hsa-mir-663a,Docetaxel
hsa-mir-181b-1,Gemcitabine
hsa-mir-17,Sirolimus
hsa-mir-218-1,Cisplatin
hsa-mir-205,Cisplatin
hsa-mir-205,Doxorubicin (Adriamycin)
hsa-mir-205,Erlotinib
hsa-mir-205,Lapatinib
hsa-mir-21,Cisplatin
hsa-mir-216a,Sorafenib
hsa-mir-217,Sorafenib
hsa-mir-10b,Cisplatin
hsa-let-7c,Doxorubicin (Adriamycin)
hsa-mir-125b-1,Doxorubicin (Adriamycin)
hsa-mir-125b-1,Etoposide
hsa-mir-125b-1,Mafosfamide
hsa-mir-125b-1,Vincristine
hsa-mir-93,Doxorubicin (Adriamycin)
hsa-mir-223,Clopidogrel
hsa-mir-181b-1,Oxaliplatin
hsa-mir-27b,Oxaliplatin
hsa-mir-625,Oxaliplatin
hsa-mir-1224,5-Fluorouracil
hsa-mir-1224,Cisplatin
hsa-mir-1224,Doxorubicin (Adriamycin)
hsa-mir-1224,Vincristine
hsa-mir-1229,5-Fluorouracil
hsa-mir-1229,Cisplatin
hsa-mir-1229,Doxorubicin (Adriamycin)
hsa-mir-1229,Vincristine
hsa-mir-1238,5-Fluorouracil
hsa-mir-1238,Cisplatin
hsa-mir-1238,Doxorubicin (Adriamycin)
hsa-mir-1238,Vincristine
hsa-mir-129-1,5-Fluorouracil
hsa-mir-129-1,Cisplatin
hsa-mir-129-1,Doxorubicin (Adriamycin)
hsa-mir-129-1,Vincristine
hsa-mir-133b,5-Fluorouracil
hsa-mir-133b,Cisplatin
hsa-mir-133b,Doxorubicin (Adriamycin)
hsa-mir-133b,Vincristine
hsa-mir-190a,5-Fluorouracil
hsa-mir-190a,Cisplatin
hsa-mir-190a,Doxorubicin (Adriamycin)
hsa-mir-190a,Vincristine
hsa-mir-197,5-Fluorouracil
hsa-mir-197,Cisplatin
hsa-mir-197,Doxorubicin (Adriamycin)
hsa-mir-197,Vincristine
hsa-mir-210,5-Fluorouracil
hsa-mir-210,Cisplatin
hsa-mir-210,Doxorubicin (Adriamycin)
hsa-mir-210,Vincristine
hsa-mir-22,5-Fluorouracil
hsa-mir-22,Cisplatin
hsa-mir-22,Doxorubicin (Adriamycin)
hsa-mir-22,Vincristine
hsa-mir-31,5-Fluorouracil
hsa-mir-31,Cisplatin
hsa-mir-31,Doxorubicin (Adriamycin)
hsa-mir-31,Vincristine
hsa-mir-3131,5-Fluorouracil
hsa-mir-3131,Cisplatin
hsa-mir-3131,Doxorubicin (Adriamycin)
hsa-mir-3131,Vincristine
hsa-mir-3149,5-Fluorouracil
hsa-mir-3149,Cisplatin
hsa-mir-3149,Doxorubicin (Adriamycin)
hsa-mir-3149,Vincristine
hsa-mir-3162,5-Fluorouracil
hsa-mir-3162,Cisplatin
hsa-mir-3162,Doxorubicin (Adriamycin)
hsa-mir-3162,Vincristine
